nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-01,92.0,1933-12-06,"trevo emanuel silva, 482",Desconhecido,Desconhecido
Calebe Santos,651.***.***-46,41.0,1984-03-06,"recanto moraes, 7",Desconhecido,Desconhecido
Maria Julia Castro,164.***.***-43,,2035-04-12,"residencial de pereira, 20",Desconhecido,Desconhecido
Arthur Da Rosa,085.***.***-30,55.0,1970-04-16,"parque almeida, 66",Desconhecido,Desconhecido
Juan Pereira,520.***.***-21,69.0,1955-10-25,"rodovia de pereira, 51",Desconhecido,Desconhecido
Dra. Ana Laura Ribeiro,210.***.***-20,71.0,1954-05-09,esplanada lavínia ramos,Desconhecido,Desconhecido
Maria Clara Araújo,960.***.***-80,42.0,1983-03-14,"praça cavalcanti, 65",Desconhecido,Desconhecido
Vitória Oliveira,302.***.***-83,32.0,1993-03-10,"esplanada monteiro, 88",Desconhecido,Desconhecido
Benjamin Oliveira,451.***.***-84,51.0,1974-05-16,"ladeira monteiro, 57",Desconhecido,Desconhecido
Pietro Barros,843.***.***-50,53.0,1972-08-19,"recanto luiz miguel jesus, 35",Desconhecido,Desconhecido
Samuel Cavalcanti,520.***.***-01,90.0,1934-11-26,"ladeira de porto, 38",Desconhecido,Desconhecido
Ian Da Costa,384.***.***-78,24.0,2001-01-21,"via de jesus, 57",Desconhecido,Desconhecido
Dr. Emanuel Costa,736.***.***-19,56.0,1969-03-09,"lago castro, 94",Desconhecido,Desconhecido
Larissa Da Cruz,128.***.***-60,84.0,1940-11-22,"setor isadora da rosa, 583",Desconhecido,Desconhecido
Diogo Carvalho,078.***.***-97,84.0,1941-03-10,"viaduto pedro lucas cavalcanti, 49",Desconhecido,Desconhecido
Sr. Anthony Almeida,305.***.***-60,38.0,1987-02-03,"rua vitor hugo pinto, 21",Desconhecido,Desconhecido
Clara Martins,397.***.***-86,78.0,1947-03-14,"rodovia aragão, 245",Desconhecido,Desconhecido
Dr. Luiz Felipe Cardoso,374.***.***-20,71.0,1954-07-20,"alameda de lima, 65",Desconhecido,Desconhecido
Sr. Calebe Lopes,135.***.***-77,64.0,1961-10-19,"trecho lucas sales, 24",Desconhecido,Desconhecido
Miguel Monteiro,097.***.***-41,55.0,1969-06-27,"passarela igor novaes, 89",Desconhecido,Desconhecido
Srta. Catarina Da Mata,468.***.***-57,83.0,1942-07-05,"sítio luna carvalho, 98",Desconhecido,Desconhecido
João Gabriel Araújo,625.***.***-25,75.0,1950-09-13,"esplanada de castro, 4",Desconhecido,Desconhecido
Sr. Nicolas Azevedo,036.***.***-33,36.0,1989-01-18,"estrada de aragão, 1",Desconhecido,Desconhecido
Kamilly Caldeira,508.***.***-47,46.0,1979-07-04,via gabriela nascimento,Desconhecido,Desconhecido
Renan Araújo,186.***.***-57,80.0,1945-03-06,"travessa vinicius da mata, 52",Desconhecido,Desconhecido
Vicente Nascimento,054.***.***-32,64.0,1961-02-22,largo vieira,Desconhecido,Desconhecido
Isaac Rocha,873.***.***-69,58.0,1966-11-30,"área lucas gabriel silveira, 51",Desconhecido,Desconhecido
Julia Das Neves,819.***.***-05,61.0,1963-08-28,"jardim isabelly gomes, 23",Desconhecido,Desconhecido
Breno Rodrigues,196.***.***-34,96.0,1928-10-24,distrito de silveira,Desconhecido,Desconhecido
Isabel Nogueira,968.***.***-65,64.0,1960-10-21,travessa ana júlia da rocha,Desconhecido,Desconhecido
Anthony Araújo,208.***.***-26,40.0,1985-09-07,"avenida milena pires, 360",Desconhecido,Desconhecido
Sra. Marina Da Cunha,067.***.***-95,57.0,1968-09-09,"rodovia marcelo souza, 25",Desconhecido,Desconhecido
